month,dimension,segment,weight
2025-02,材质,皮质,17.5
2025-02,价格段,5千以下,23.0
2025-02,价格段,5千-1万,32.4
2025-02,价格段,1万-2万,25.1
2025-02,价格段,2万以上,19.5
2025-02,品牌,一线品牌,36.2
2025-02,品牌,二线品牌,25.6
2025-02,品牌,设计师品牌,24.5
2025-02,品牌,白牌,13.7
2025-02,环保等级,ENF级,44.7
2025-02,环保等级,E0级,30.9
2025-02,环保等级,E1级,15.9
2025-02,环保等级,未标注,8.6
2025-03,材质,实木,41.2
2025-03,材质,板式,21.8
2025-03,材质,布艺,19.2
2025-03,材质,皮质,17.8
2025-03,价格段,5千以下,23.5
2025-03,价格段,5千-1万,31.9
2025-03,价格段,1万-2万,24.6
2025-03,价格段,2万以上,20.0
2025-03,品牌,一线品牌,36.3
2025-03,品牌,二线品牌,24.8
2025-03,品牌,设计师品牌,24.8
2025-03,品牌,白牌,14.2
2025-03,环保等级,ENF级,44.6
2025-03,环保等级,E0级,31.1
2025-03,环保等级,E1级,16.5
2025-03,环保等级,未标注,7.7
2025-04,材质,实木,41.5
2025-04,材质,板式,21.7
2025-04,材质,布艺,18.7
2025-04,材质,皮质,18.1
2025-04,价格段,5千以下,22.5
2025-04,价格段,5千-1万,33.0
2025-04,价格段,1万-2万,25.5
2025-04,价格段,2万以上,19.0
2025-04,品牌,一线品牌,36.3
2025-04,品牌,二线品牌,25.7
2025-04,品牌,设计师品牌,24.3
2025-04,品牌,白牌,13.7
2025-04,环保等级,ENF级,45.1
2025-04,环保等级,E0级,31.3
2025-04,环保等级,E1级,15.7
2025-04,环保等级,未标注,7.9
2025-05,材质,实木,42.4
2025-05,材质,板式,23.1
2025-05,材质,布艺,17.9
2025-05,材质,皮质,16.6
2025-05,价格段,5千以下,23.5
2025-05,价格段,5千-1万,33.0
2025-05,价格段,1万-2万,24.6
2025-05,价格段,2万以上,18.8
2025-05,品牌,一线品牌,36.5
2025-05,品牌,二线品牌,25.9
2025-05,品牌,设计师品牌,24.7
2025-05,品牌,白牌,12.9
2025-05,环保等级,ENF级,45.6
2025-05,环保等级,E0级,32.0
2025-05,环保等级,E1级,15.1
2025-05,环保等级,未标注,7.3
2025-06,材质,实木,41.8
2025-06,材质,板式,21.5
2025-06,材质,布艺,17.8
2025-06,材质,皮质,18.8
2025-06,价格段,5千以下,23.3
2025-06,价格段,5千-1万,32.5
2025-06,价格段,1万-2万,25.8
2025-06,价格段,2万以上,18.4
2025-06,品牌,一线品牌,36.7
2025-06,品牌,二线品牌,24.4
2025-06,品牌,设计师品牌,24.3
2025-06,品牌,白牌,14.6
2025-06,环保等级,ENF级,46.6
2025-06,环保等级,E0级,30.8
2025-06,环保等级,E1级,14.8
2025-06,环保等级,未标注,7.8
